COVID-19 Vaccinations in the United States
Date generated: Sun Mar 24 2024 14:21:29 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100k pop,Doses distributed by jurisdiction per 100k of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100k pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100k of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100k of 65+ pop,Doses distributed by jurisdiction per 100k of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100k of 12+ pop,Doses distributed by jurisdiction per 100k of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100k of 5+ pop,Doses distributed by jurisdiction per 100k of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
United States,984444295,296511,381249,676728782,203829,607682588,235339,270227181,81.4,238239640,92.3,230637348,69.5,204327579,79.1,505345015,90661580,313437660,42037340,31552000,1410700,N/A,19007537,232147784,20781667,366979906,36730941,89195,890835,58758542,95,51708613,94.4,184147668,336085,1796690,256511884,90.5,219966681,77.6,648276706,228653,347222,268021871,85.8,229426936,73.5,672207981,215268,315259,56478510,17,56352709,18,54974636,19.4,52996306,20.5,23699191,43.3,1997664,57512608
Alaska,2176065,297462,394528,1328221,181564,1177565,213496,535718,73.2,467289,84.7,477592,65.3,418608,75.9,1079425,N/A,718520,N/A,86200,6400,N/A,46364,470095,N/A,706582,N/A,341,1579,90909,95,81999,89.5,288287,314765,2375930,504958,82.9,452885,74.4,1263881,207576,357390,530318,77.9,474707,69.8,1318313,193737,319791,103624,14.2,103619,15.2,100512,16.5,95906,17.4,39311,42.9,N/A,N/A
Alabama,12349530,251868,323720,7018011,143132,6526261,171074,3193141,65.1,2934849,76.9,2611593,53.3,2416344,63.3,5848060,N/A,4797960,N/A,402500,24400,N/A,179930,2881085,N/A,3572643,N/A,798,937,840073,95,725159,85.3,2246025,264289,1453170,3107922,74.2,2554026,61,6860641,163860,294958,3183544,69.1,2607644,56.6,6999031,151861,267954,376574,7.7,376516,8.2,374521,8.9,366925,9.6,202699,23.9,N/A,N/A
Arkansas,8373210,277460,361280,4874091,161511,4435479,191378,2115165,70.1,1891347,81.6,1720209,57,1547724,66.8,4016440,N/A,3075220,N/A,265400,30900,N/A,126446,1929129,N/A,2469694,N/A,3765,4886,524198,95,440981,84.2,1506049,287479,1598300,2031772,79.5,1661645,65,4717675,184482,327431,2104099,74.4,1715538,60.6,4854485,171577,295942,330686,11,330572,11.7,325981,12.7,317694,13.7,174653,33.3,N/A,N/A
American Samoa,128480,271101,410021,115281,243250,85719,273557,46226,95,32793,95,42495,89.7,29952,95,100770,N/A,25000,N/A,600,N/A,N/A,581,25359,N/A,87472,N/A,N/A,1284,3314,95,2996,91.4,9484,289323,3919460,39595,95,36395,95,102456,277531,348024,46202,95,42494,95,115255,267351,298028,576,1.2,576,1.3,573,1.6,568,1.8,199,6.1,N/A,N/A
Arizona,19959120,274212,353980,14647405,201236,13071728,231831,5704677,78.4,4958125,87.9,4821350,66.2,4239941,75.2,10188940,N/A,6493460,N/A,621000,22400,N/A,388176,5190480,N/A,7818595,N/A,2560,60040,1348446,95,1188267,90.8,4465401,341226,1525190,5394242,86.9,4596164,74.1,14021892,225939,321607,5663049,82.7,4805903,70.2,14571101,212750,291420,1148060,15.8,1147905,16.8,1118947,18,1074856,19.1,523583,40,N/A,N/A
Bureau of Prisons,421090,N/A,N/A,347809,N/A,347807,N/A,155768,N/A,155766,N/A,141755,N/A,141754,N/A,199110,N/A,172520,N/A,16200,N/A,N/A,14831,156523,N/A,166572,N/A,N/A,38,4225,N/A,3822,N/A,11923,N/A,N/A,155766,N/A,141754,N/A,347807,N/A,N/A,155766,N/A,141754,N/A,347807,N/A,N/A,9775,N/A,9775,N/A,9775,N/A,9775,N/A,677,N/A,N/A,N/A
California,121107865,306507,395550,88487852,223951,78293473,255714,33613401,85.1,29095623,95,29588939,74.9,25681179,83.9,63095065,N/A,37596780,N/A,3785200,175900,N/A,2316380,29969011,N/A,47837774,N/A,11116,13076,6058090,95,5441414,93.2,20318668,348035,2074430,31630858,94,27956563,83.1,84209216,250278,359944,33267856,89.6,29371810,79.1,87770511,236397,326186,8140724,20.6,8114063,21.9,7885573,23.4,7555616,24.7,2821306,48.3,N/A,N/A
Colorado,17769135,308560,394938,13033446,226325,11614071,258135,4837792,84,4219589,93.8,4248431,73.8,3729317,82.9,9029715,N/A,5402640,N/A,501900,43600,N/A,347348,4490965,N/A,6833751,N/A,2980,21716,902546,95,818078,95,3172390,376584,2109320,4549073,92.2,4023663,81.5,12396074,251133,359986,4776300,88,4215139,77.7,12899729,237716,327449,1272115,22.1,1268501,23.4,1229981,24.9,1176686,26.2,462990,55,N/A,N/A
Connecticut,11881825,333264,418692,9040989,253584,8083479,284845,3670090,95,3224961,95,2967081,83.2,2602449,91.7,5856215,N/A,3940280,N/A,355100,10100,N/A,252823,3075448,N/A,4786944,N/A,751,1386,823664,95,654355,95,2487123,394629,1885270,3481915,95,2816633,90.7,8655595,278678,382551,3640198,95,2948721,87.1,8979810,265394,351162,912544,25.6,911056,26.9,892305,28.7,860108,30.3,386369,61.3,N/A,N/A
