Headlines,Descriptions
Amsterdam’s Latest Effort to Fight Excessive Tourism: No New Hotels,The city wants no more than 20 million hotel stays annually. The measure is one of multiple efforts to control the flow of visitors.
How Israel’s Conflicts Could Escalate,"Israel’s military is dealing with clashes with Hezbollah in Lebanon and with Iran, as well as the continuing war in Gaza."
Qatar Says It Is Reviewing Its Mediator Role as Israel-Hamas Talks Stall,U.S. and Israeli officials have urged the Gulf state to exert more pressure on the Palestinian armed group to reach a deal.
Millions of Girls in Africa Will Miss HPV Shots After Merck Production Problem,The company has told countries that it can supply only 18.8 million of the 29.6 million doses it was contracted to deliver this year.
"After Months of Cocaine Washing Ashore, Australian Police Make an Arrest","Drug parcels kept showing up on beaches along Australia’s shoreline. Now, the police say they found the man behind the botched shipment."
W.H.O. Broadens Definition of Airborne Diseases,"After a drawn-out global controversy over the coronavirus, the W.H.O. has updated its classification of how pathogens spread through the air."
Drought Pushes Millions Into ‘Acute Hunger’ in Southern Africa,"The disaster, intensified by El Niño, is devastating communities across several countries, killing crops and livestock and sending food prices soaring."
"A Japanese Village Wants Tourists to Come for Heat, Soot and Steel","To lure visitors, residents of Yoshida, famed for its high-quality steel, are inviting tourists to help produce it."
Thursday Briefing,Europe asks Israel for restraint on Iran.
How A.I. Tools Could Change India’s Elections,"Avatars are addressing voters by name, in whichever of India’s many languages they speak. Experts see potential for misuse in a country already rife with disinformation."
