Headlines,Descriptions,Source
Israel weighs response to Iran as war devastates Gaza,,CNN
"Discovery in Maya pyramid reveals dramatic dynasty collapse, archaeologists say",,CNN
Why Qatar is unlikely to withdraw from the Gaza hostage-ceasefire talks,,CNN
Prince William resumes public duties after Kate’s cancer announcement,,CNN
Stabbed bishop delivers first message from hospital as malicious disinformation spreads,,CNN
Georgia presses on with Putin-style ‘foreign agent’ bill despite huge protests,,CNN
Airline worker among six arrested in $22M airport gold heist. Police say it was an inside job,,CNN
"A lake in Mexico’s ‘magical town’ is disappearing. Authorities blame drought, and theft",,CNN
India election: A visual guide to voting in the world’s largest democracy,,CNN
Chilean report into LATAM Airlines flight plunge finds ‘involuntary movement forward’ from pilot’s seat,,CNN
Belgium to investigate suspected Russian interference in EU elections,,CNN
Brazilian police detain woman suspected of taking a dead man to withdraw bank loan,,CNN
Jordan walks a tightrope after downing Iranian drones and missiles,,CNN
How Gaza’s hospitals became battlegrounds,,CNN
How the climate crisis fuels gender inequality,,CNN
Dramatic volcanic eruption of Mount Ruang in Indonesia,,CNN
Convicted Palestinian terrorist dies in Israel; What he did,,CNN
"Once lush Mexican lake, now a bed of rock",,CNN
Is there a new cold war?,,CNN
Russian opposition leader Alexey Navalny’s memoir will be published in October,,CNN
Ukraine’s parliament scraps demobilization plans in bid to boost military,,CNN
"Poland is debating an end to its near-total abortion ban, setting up a heated political fight",,CNN
Zelensky says he will listen to Trump’s ideas to end war in Ukraine ‘with pleasure’,,CNN
EU Parliament approves major reforms to migration policy,,CNN
A hate crime law was meant to protect against prejudice. It ended up sowing further division,,CNN
Can Netanyahu avoid triggering a regional war?,,CNN
"At least 13 killed, including 7 children, after strike on Gaza’s Al-Maghazi refugee camp",,CNN
Restraint or retribution? Israel faces dilemma in its response to Iran’s attack,,CNN
At least 17 dead after flash floods in Oman,,CNN
Fifteen more bodies recovered from Al-Shifa hospital area after Israeli military’s withdrawal,,CNN
"Israel delays Rafah offensive plans amid heated debate over response to Iranian attack, sources say",,CNN
People we’ve lost in 2024,,CNN
"Narendra Modi, in pictures",,CNN
The week in 28 photos,,CNN
These innovations are making wind turbines even greener,,CNN
Sierra Leone declares national emergency after steep rise in use of deadly synthetic drug kush,,CNN
Sudan on brink of collapse and starvation as country marks one year of civil war,,CNN
"Hijacked Bangladesh-flagged ship released after $5 million ransom paid, say Somali pirates",,CNN
They were kidnapped from a boarding school 10 years ago. Hear their stories,,CNN
"Some bumblebees can survive underwater for up to a week, new study shows",,CNN
20 decomposed bodies found in boat off coast of Brazil,,CNN
"General goes on trial for genocide, 40 years after Guatemala’s bloody civil war",,CNN
Rescuers in British Columbia pause efforts to save an orphaned orca calf stranded in a lagoon,,CNN
Indonesia issues tsunami alert after volcano erupts on remote island,,CNN
More than 100 killed across Pakistan and Afghanistan as flash floods and heavy rains sweep the region,,CNN
Myanmar’s Aung San Suu Kyi moved to house arrest,,CNN
Taiwan quake led to traffic jam of Japanese air power,,CNN
Dubai airport struggles to resume flights after heavy rains leave runways underwater,,CNN
"Palaces, superyachts and chauffeurs: How the super rich will watch the 2024 Paris Olympics",,CNN
What’s the cheapest way to reach near-space? Ride a balloon,,CNN
"The world’s best airports for 2024, according to Skytrax",,CNN
Amsterdam bans construction of new hotels as a way to fight overtourism,,CNN
